,Unnamed: 0,keyword,location,polarity,date,quater
1596963,1596963,КАМАЗ,Belarus,0.0,2016-11-19,4
1596965,1596965,КАМАЗ,Belarus,0.0,2016-11-14,4
1596969,1596969,КАМАЗ,Belarus,0.0,2016-10-19,4
1596972,1596972,КАМАЗ,Belarus,0.0,2016-10-04,4
1596973,1596973,КАМАЗ,Belarus,0.0,2016-10-01,4
1603000,1603000,КАМАЗ,Belarus,0.0,2016-11-17,4
1617076,1617076,КАМАЗ,Belarus,0.0,2017-11-07,4
1617077,1617077,КАМАЗ,Belarus,0.0,2017-11-04,4
1617091,1617091,КАМАЗ,Belarus,0.0,2017-12-09,4
1617092,1617092,КАМАЗ,Belarus,0.0,2017-10-13,4
1617093,1617093,КАМАЗ,Belarus,0.0,2017-10-31,4
1617100,1617100,КАМАЗ,Belarus,0.0,2017-10-06,4
1617139,1617139,КАМАЗ,Belarus,0.0,2016-11-17,4
1617140,1617140,КАМАЗ,Belarus,0.0,2016-10-29,4
1617141,1617141,КАМАЗ,Belarus,0.0,2016-11-21,4
1617142,1617142,КАМАЗ,Belarus,0.0,2016-10-20,4
1617143,1617143,КАМАЗ,Belarus,0.0,2016-10-13,4
1617157,1617157,КАМАЗ,Belarus,0.0,2016-11-17,4
1617161,1617161,КАМАЗ,Belarus,0.0,2016-10-26,4
1617163,1617163,КАМАЗ,Belarus,0.0,2016-10-04,4
1617164,1617164,КАМАЗ,Belarus,0.0,2016-10-01,4
1617180,1617180,КАМАЗ,Belarus,0.0,2017-11-27,4
1617182,1617182,КАМАЗ,Belarus,0.0,2017-11-02,4
1617191,1617191,КАМАЗ,Belarus,0.0,2017-11-16,4
1617252,1617252,КАМАЗ,Belarus,0.0,2016-11-14,4
1617278,1617278,КАМАЗ,Belarus,0.0,2016-12-13,4
1617281,1617281,КАМАЗ,Belarus,0.0,2016-11-17,4
1617282,1617282,КАМАЗ,Belarus,0.0,2016-11-14,4
1630765,1630765,КАМАЗ,Belarus,0.0,2017-11-16,4
1630783,1630783,КАМАЗ,Belarus,0.0,2017-10-30,4
1630784,1630784,КАМАЗ,Belarus,0.0,2017-10-09,4
1630822,1630822,КАМАЗ,Belarus,0.0,2016-10-24,4
1630838,1630838,КАМАЗ,Belarus,0.0,2016-12-20,4
1630867,1630867,КАМАЗ,Belarus,0.0,2017-12-22,4
1630875,1630875,КАМАЗ,Belarus,0.0,2017-10-26,4
1630974,1630974,КАМАЗ,Belarus,0.0,2016-10-26,4
1719358,1719358,ГАЗ,Belarus,0.42857142859999997,2018-12-08,4
1719620,1719620,ГАЗ,Belarus,0.0,2018-12-12,4
1719623,1719623,ГАЗ,Belarus,0.5,2018-12-07,4
1719629,1719629,ГАЗ,Belarus,0.5294117647000001,2018-12-07,4
1719824,1719824,Газпром,Belarus,0.32203389829999995,2018-10-10,4
1721410,1721410,ГАЗ,Belarus,0.125,2018-12-10,4
1721441,1721441,ГАЗ,Belarus,0.0,2018-10-27,4
1722434,1722434,КАМАЗ,Belarus,0.3846153846,2018-10-08,4
1722436,1722436,Газпром,Belarus,0.3513513514,2018-10-08,4
1723130,1723130,ГАЗ,Belarus,0.4166666667,2018-10-30,4
1723131,1723131,ГАЗ,Belarus,0.0,2018-10-30,4
1724150,1724150,Газпром,Belarus,0.0909090909,2018-10-10,4
1724647,1724647,КАМАЗ,Belarus,0.5151515152,2018-10-14,4
1724807,1724807,ГАЗ,Belarus,0.4,2018-12-01,4
1724815,1724815,ГАЗ,Belarus,1.0,2018-11-30,4
1725656,1725656,Газпром,Belarus,0.0,2018-11-30,4
1725657,1725657,ГАЗ,Belarus,0.0,2018-11-30,4
1725664,1725664,ГАЗ,Belarus,0.12,2018-11-30,4
1725789,1725789,ГАЗ,Belarus,0.5555555556,2018-10-26,4
1725800,1725800,КАМАЗ,Belarus,-0.034482758599999996,2018-10-24,4
1725802,1725802,ГАЗ,Belarus,-0.034482758599999996,2018-10-24,4
1731996,1731996,ГАЗ,Belarus,0.5555555556,2018-12-11,4
1733737,1733737,ГАЗ,Belarus,0.7894736842000001,2018-12-07,4
1733739,1733739,ГАЗ,Belarus,0.2727272727,2018-12-06,4
1733746,1733746,ГАЗ,Belarus,0.21428571429999999,2018-12-05,4
1734003,1734003,ГАЗ,Belarus,0.4098360656,2018-12-05,4
1734017,1734017,ГАЗ,Belarus,0.0,2018-12-05,4
1734038,1734038,ГАЗ,Belarus,0.3387096774,2018-12-04,4
1734039,1734039,Газпром,Belarus,0.3246753247,2018-12-04,4
1734041,1734041,ГАЗ,Belarus,0.2098765432,2018-12-04,4
1734093,1734093,ГАЗ,Belarus,0.2432432432,2018-12-10,4
1734326,1734326,КАМАЗ,Belarus,0.33333333330000003,2018-10-04,4
1734329,1734329,Газпром,Belarus,0.0416666667,2018-10-04,4
1734465,1734465,ГАЗ,Belarus,0.33333333330000003,2018-11-19,4
1734845,1734845,ГАЗ,Belarus,0.0,2018-12-09,4
1734851,1734851,ГАЗ,Belarus,0.2,2018-12-09,4
1735106,1735106,КАМАЗ,Belarus,-1.0,2018-12-12,4
1735357,1735357,ГАЗ,Belarus,0.76,2018-11-24,4
1735383,1735383,ГАЗ,Belarus,0.2,2018-11-05,4
1735899,1735899,ГАЗ,Belarus,0.2842105263,2018-11-12,4
1737220,1737220,ГАЗ,Belarus,0.375,2018-10-26,4
1737224,1737224,ГАЗ,Belarus,0.4339622642,2018-10-25,4
1737863,1737863,ГАЗ,Belarus,0.0,2018-12-09,4
1737869,1737869,ГАЗ,Belarus,0.1875,2018-12-09,4
1737871,1737871,ГАЗ,Belarus,-0.1489361702,2018-12-09,4
1738900,1738900,КАМАЗ,Belarus,-0.33333333330000003,2018-12-07,4
1739598,1739598,ГАЗ,Belarus,0.0303030303,2018-11-03,4
1739601,1739601,ГАЗ,Belarus,0.2,2018-11-01,4
1739615,1739615,ГАЗ,Belarus,0.2,2018-10-23,4
1740807,1740807,ГАЗ,Belarus,1.0,2018-10-18,4
1740810,1740810,ГАЗ,Belarus,-0.3636363636,2018-10-17,4
1741365,1741365,Газпром,Belarus,-0.0769230769,2018-10-07,4
1741848,1741848,ГАЗ,Belarus,0.10526315789999999,2018-12-11,4
1742405,1742405,Газпром,Belarus,0.5522388060000001,2018-10-12,4
1742406,1742406,Газпром,Belarus,0.3793103448,2018-10-12,4
1742408,1742408,Газпром,Belarus,0.6363636364,2018-10-12,4
1742410,1742410,Газпром,Belarus,0.4375,2018-10-12,4
1742413,1742413,Газпром,Belarus,0.2727272727,2018-10-11,4
1742414,1742414,Газпром,Belarus,1.0,2018-10-11,4
1742416,1742416,Газпром,Belarus,-0.2,2018-10-11,4
1742419,1742419,Газпром,Belarus,0.42857142859999997,2018-10-11,4
1742420,1742420,Газпром,Belarus,0.18421052629999998,2018-10-11,4
1742421,1742421,Газпром,Belarus,-0.0909090909,2018-10-11,4
